41.479736,-81.651473,2
41.479677,-81.653854,2
41.479618,-81.656236,2
41.479559,-81.658618,2
41.479500,-81.661000,2
41.479453,-81.663519,2
41.479407,-81.666039,2
41.479361,-81.668558,2
41.479315,-81.671078,2
41.478736,-81.673058,2
41.478157,-81.675039,2
41.477578,-81.677019,2
41.477000,-81.679000,2
41.476572,-81.681180,2
41.476144,-81.683361,2
41.475716,-81.685541,2
41.475288,-81.687722,2
41.475116,-81.689791,2
41.474944,-81.691861,2
41.474772,-81.693930,2
41.474600,-81.696000,2
41.474459,-81.698546,2
41.474319,-81.701093,2
41.474179,-81.703640,2
41.474039,-81.706187,2
41.474154,-81.708140,2
41.474269,-81.710093,2
41.474384,-81.712046,2
41.474500,-81.714000,2
41.474603,-81.716209,2
41.474707,-81.718418,2
41.474810,-81.720627,2
41.474914,-81.722837,2
